Date,Car_Count,Stock_Price
2024-01-01,22,50.55
2024-01-02,19,44.25
2024-01-03,23,51.88
2024-01-04,28,47.0
2024-01-05,19,48.54
2024-01-06,19,46.99
2024-01-07,28,59.26
2024-01-08,24,49.93
2024-01-09,18,44.71
2024-01-10,23,54.11
2024-01-11,18,43.9
2024-01-12,18,51.04
2024-01-13,21,40.2
2024-01-14,10,43.36
2024-01-15,11,50.98
2024-01-16,17,53.69
2024-01-17,15,50.86
2024-01-18,22,49.42
2024-01-19,15,48.49
2024-01-20,13,42.61
2024-01-21,27,46.4
2024-01-22,19,47.7
2024-01-23,20,55.29
2024-01-24,13,51.72
2024-01-25,17,41.18
2024-01-26,52,74.11
2024-01-27,48,70.44
2024-01-28,47,68.5
2024-01-29,53,70.46
2024-01-30,55,60.06
2024-01-31,55,68.9
2024-02-01,46,71.79
2024-02-02,48,77.39
2024-02-03,52,67.41
2024-02-04,55,65.96
2024-02-05,48,67.49
2024-02-06,49,74.58
2024-02-07,44,71.64
2024-02-08,44,67.35
2024-02-09,54,72.57
2024-02-10,57,70.49
2024-02-11,50,74.84
2024-02-12,55,66.49
2024-02-13,52,68.36
2024-02-14,47,68.04
2024-02-15,52,62.68
2024-02-16,58,71.48
2024-02-17,50,71.31
2024-02-18,58,70.03
2024-02-19,37,68.83
2024-02-20,73,50.95
2024-02-21,78,35.05
2024-02-22,78,37.17
2024-02-23,76,40.5
2024-02-24,79,37.48
2024-02-25,82,32.25
2024-02-26,89,40.34
2024-02-27,81,34.69
2024-02-28,81,42.37
2024-02-29,80,35.4
2024-03-01,70,47.75
2024-03-02,80,36.08
2024-03-03,80,38.39
2024-03-04,92,44.07
2024-03-05,79,33.85
2024-03-06,82,41.14
2024-03-07,80,46.54
2024-03-08,74,31.96
2024-03-09,86,40.92
2024-03-10,84,41.3
2024-03-11,84,43.91
2024-03-12,75,33.82
2024-03-13,87,33.4
2024-03-14,73,42.61
2024-03-15,83,41.48
2024-03-16,111,94.14
2024-03-17,112,90.07
2024-03-18,107,97.27
2024-03-19,111,88.68
2024-03-20,111,103.6
2024-03-21,106,93.13
2024-03-22,119,85.71
2024-03-23,112,84.65
2024-03-24,104,92.41
2024-03-25,113,88.88
2024-03-26,105,93.57
2024-03-27,114,92.37
2024-03-28,116,89.64
2024-03-29,106,85.77
2024-03-30,115,82.43
2024-03-31,112,87.77
2024-04-01,114,94.28
2024-04-02,119,91.07
2024-04-03,109,83.77
2024-04-04,106,90.87
2024-04-05,106,91.93
2024-04-06,106,85.58
2024-04-07,110,90.77
2024-04-08,112,90.29
2024-04-09,111,84.29
