Date,Car_Count,Stock_Price
2024-01-01,413,130.98332904131857
2024-01-02,509,143.61484260970755
2024-01-03,242,149.95216692815757
2024-01-04,294,148.97077718124166
2024-01-05,97,134.58709947687333
2024-01-06,78,125.50955407536485
2024-01-07,563,172.62600509402824
2024-01-08,481,158.75157144256397
2024-01-09,330,157.48400137079275
2024-01-10,126,107.20937838821753
2024-01-11,-227,126.33047930110538
2024-01-12,457,192.28971995957215
2024-01-13,-63,124.60897069027669
2024-01-14,488,151.61312866387104
2024-01-15,277,160.04688099798625
2024-01-16,347,185.51520801797008
2024-01-17,676,149.62424544818316
2024-01-18,170,157.56007014022197
2024-01-19,284,159.75069805857095
2024-01-20,297,145.00797753115611
2024-01-21,522,188.43576118221924
2024-01-22,519,167.50273354568273
2024-01-23,171,110.07686193658674
2024-01-24,90,129.42695206589903
2024-01-25,273,159.40127548587776
2024-01-26,613,162.83523388055886
2024-01-27,111,133.26713532988632
2024-01-28,295,160.4878148921214
2024-01-29,267,158.80576264468752
2024-01-30,692,156.72669760396533
2024-01-31,509,166.0214956519152
2024-02-01,0,140.64469571358984
2024-02-02,357,162.06855677225298
2024-02-03,-52,121.89296702795382
2024-02-04,471,130.3394096378433
2024-02-05,72,160.419369279326
2024-02-06,248,141.04142188118837
2024-02-07,465,140.91050458428438
2024-02-08,342,141.4954964189826
2024-02-09,124,151.39149685296235
2024-02-10,554,146.68564982258215
2024-02-11,540,169.7400535160185
2024-02-12,504,160.50947868562045
2024-02-13,172,125.63783393315688
2024-02-14,488,144.43952493024563
2024-02-15,236,154.35976831107666
2024-02-16,436,148.5611292010695
2024-02-17,506,152.50713069651715
2024-02-18,364,137.41297394456672
2024-02-19,246,145.59555623099058
2024-02-20,221,146.8651367457214
2024-02-21,266,132.48413324627626
2024-02-22,362,146.6096703894232
2024-02-23,332,159.1153199926974
2024-02-24,456,163.2432942372821
2024-02-25,92,167.67798455300206
2024-02-26,450,150.84600979432892
2024-02-27,688,178.38007784670137
2024-02-28,40,159.87794778100584
2024-02-29,206,142.28754412912787
2024-03-01,33,123.47290072689296
2024-03-02,332,140.12615908273122
2024-03-03,294,161.18300893491363
2024-03-04,-21,128.96576944439667
2024-03-05,229,139.45185342046202
2024-03-06,215,165.2772724727173
2024-03-07,194,149.0084500317028
2024-03-08,292,127.5124055199341
2024-03-09,403,161.16334282072012
2024-03-10,262,121.9297653349194
2024-03-11,192,153.15554135037704
2024-03-12,443,140.37720315828307
2024-03-13,349,143.8184973750973
2024-03-14,212,144.5858517419277
2024-03-15,180,123.21240555386368
2024-03-16,376,159.32794595737752
2024-03-17,342,142.79344732164842
2024-03-18,219,137.06997341843248
2024-03-19,255,141.97637608015762
2024-03-20,369,177.44452486313796
2024-03-21,214,132.77577830714884
2024-03-22,135,160.57945306310322
2024-03-23,327,117.45141968199137
2024-03-24,329,148.77637814336885
2024-03-25,134,157.30785991610009
2024-03-26,276,137.8298694718807
2024-03-27,357,156.20855404020048
2024-03-28,212,138.39017558473145
2024-03-29,183,123.46751910865709
2024-03-30,259,161.47544341452695
2024-03-31,312,164.62525429574424
2024-04-01,477,133.03063264266527
2024-04-02,448,154.7989449532505
2024-04-03,-26,141.45807346315337
2024-04-04,469,154.0768201619324
2024-04-05,157,119.44785820362867
2024-04-06,294,157.4793559818509
2024-04-07,470,202.1956916626398
2024-04-08,221,150.47295853708258
2024-04-09,294,150.18069732900676
